player_name,player_status,team_name,game_id
Shai Gilgeous-Alexander,Starter,OKC,202501290GSW
Luguentz Dort,Starter,OKC,202501290GSW
Jalen Williams,Starter,OKC,202501290GSW
Isaiah Hartenstein,Starter,OKC,202501290GSW
Cason Wallace,Starter,OKC,202501290GSW
Isaiah Joe,Reserves,OKC,202501290GSW
Jaylin Williams,Reserves,OKC,202501290GSW
Aaron Wiggins,Reserves,OKC,202501290GSW
Kenrich Williams,Reserves,OKC,202501290GSW
Ousmane Dieng,Reserves,OKC,202501290GSW
Alex Caruso,Reserves,OKC,202501290GSW
Branden Carlson,Reserves: Did Not Play,OKC,202501290GSW
Alex Ducas,Reserves: Did Not Play,OKC,202501290GSW
Adam Flagler,Reserves: Did Not Play,OKC,202501290GSW
Andrew Wiggins,Starter,GSW,202501290GSW
Stephen Curry,Starter,GSW,202501290GSW
Gary Payton II,Starter,GSW,202501290GSW
Buddy Hield,Starter,GSW,202501290GSW
Quinten Post,Starter,GSW,202501290GSW
Dennis Schröder,Reserves,GSW,202501290GSW
Kevon Looney,Reserves,GSW,202501290GSW
Gui Santos,Reserves,GSW,202501290GSW
Brandin Podziemski,Reserves,GSW,202501290GSW
Moses Moody,Reserves,GSW,202501290GSW
Kyle Anderson,Reserves,GSW,202501290GSW
Trayce Jackson-Davis,Reserves: Did Not Play,GSW,202501290GSW
Lindy Waters III,Reserves: Did Not Play,GSW,202501290GSW
Collin Sexton,Starter,UTA,202501280GSW
Isaiah Collier,Starter,UTA,202501280GSW
Micah Potter,Starter,UTA,202501280GSW
Brice Sensabaugh,Starter,UTA,202501280GSW
Drew Eubanks,Starter,UTA,202501280GSW
Keyonte George,Reserves,UTA,202501280GSW
Svi Mykhailiuk,Reserves,UTA,202501280GSW
Kyle Filipowski,Reserves,UTA,202501280GSW
Patty Mills,Reserves,UTA,202501280GSW
Elijah Harkless,Reserves,UTA,202501280GSW
Johnny Juzang,Reserves: Did Not Dress,UTA,202501280GSW
Oscar Tshiebwe,Reserves: Did Not Play,UTA,202501280GSW
Dennis Schröder,Starter,GSW,202501280GSW
Andrew Wiggins,Starter,GSW,202501280GSW
Moses Moody,Starter,GSW,202501280GSW
Buddy Hield,Starter,GSW,202501280GSW
Trayce Jackson-Davis,Starter,GSW,202501280GSW
