Time,Period,Team,Primary Player,Secondary Player,Play Description,Event Type,Action Type,Outcome,Distance (ft),Current Points Scored,IND Cum. Score,SAS Cum. Score
12:00.0,Q1,Indiana Pacers,M. Turner,,Jump ball:M. Turner vs. V. Wembanyama(H. Barnes gains possession),Jump Ball,Jump Ball,N/A,N/A,No points scored,IND: 0,SAS: 0
11:44.0,Q1,San Antonio Spurs,C. Paul,,Turnover by C. Paul(lost ball; steal by A. Nembhard),Turnover,lost ball; steal by A. Nembhard,N/A,N/A,No points scored,IND: 0,SAS: 0
11:41.0,Q1,Indiana Pacers,A. Nembhard,T. Haliburton,A. Nembhard makes 2-pt layup from 3 ft (assist by T. Haliburton),Shot,Layup,Made,3 ft,IND: 2,IND: 2,SAS: 0
11:26.0,Q1,San Antonio Spurs,V. Wembanyama,,V. Wembanyama misses 2-pt jump shot from 8 ft,Shot,Jump Shot,Missed,8 ft,No points scored,IND: 2,SAS: 0
11:25.0,Q1,Indiana Pacers,B. Mathurin,,Defensive rebound by B. Mathurin,Rebound,Defensive,N/A,N/A,No points scored,IND: 2,SAS: 0
11:21.0,Q1,Indiana Pacers,A. Nembhard,,A. Nembhard misses 2-pt jump shot from 18 ft,Shot,Jump Shot,Missed,18 ft,No points scored,IND: 2,SAS: 0
11:18.0,Q1,San Antonio Spurs,D. Vassell,,Defensive rebound by D. Vassell,Rebound,Defensive,N/A,N/A,No points scored,IND: 2,SAS: 0
11:11.0,Q1,San Antonio Spurs,V. Wembanyama,,V. Wembanyama misses 3-pt jump shot from 26 ft,Shot,Jump Shot,Missed,26 ft,No points scored,IND: 2,SAS: 0
11:11.0,Q1,Indiana Pacers,B. Mathurin,,Defensive rebound by B. Mathurin,Rebound,Defensive,N/A,N/A,No points scored,IND: 2,SAS: 0
10:56.0,Q1,Indiana Pacers,M. Turner,,M. Turner misses 3-pt jump shot from 24 ft,Shot,Jump Shot,Missed,24 ft,No points scored,IND: 2,SAS: 0
10:52.0,Q1,San Antonio Spurs,D. Vassell,,Defensive rebound by D. Vassell,Rebound,Defensive,N/A,N/A,No points scored,IND: 2,SAS: 0
10:34.0,Q1,San Antonio Spurs,H. Barnes,,H. Barnes makes 2-pt jump shot from 8 ft,Shot,Jump Shot,Made,8 ft,SAS: 2,IND: 2,SAS: 2
10:21.0,Q1,Indiana Pacers,B. Mathurin,A. Nembhard,B. Mathurin makes 3-pt jump shot from 24 ft (assist by A. Nembhard),Shot,Jump Shot,Made,24 ft,IND: 3,IND: 5,SAS: 2
10:01.0,Q1,San Antonio Spurs,V. Wembanyama,H. Barnes,V. Wembanyama makes 3-pt jump shot from 28 ft (assist by H. Barnes),Shot,Jump Shot,Made,28 ft,SAS: 3,IND: 5,SAS: 5
9:40.0,Q1,Indiana Pacers,S. Castle,M. Turner,Shooting foul by S. Castle(drawn by M. Turner),Foul,Shooting,N/A,N/A,No points scored,IND: 5,SAS: 5
9:40.0,Q1,Indiana Pacers,M. Turner,,M. Turner makes free throw 1 of 2,Shot,Free Throw,Made,N/A,IND: 1,IND: 6,SAS: 5
9:40.0,Q1,Indiana Pacers,M. Turner,,M. Turner makes free throw 2 of 2,Shot,Free Throw,Made,N/A,IND: 1,IND: 7,SAS: 5
9:29.0,Q1,San Antonio Spurs,S. Castle,C. Paul,S. Castle makes 2-pt jump shot from 8 ft (assist by C. Paul),Shot,Jump Shot,Made,8 ft,SAS: 2,IND: 7,SAS: 7
